"","a","b","c","classificacoes",,
"159",0.457437263949057,0.23396137052977,0.382625080730732,1,69,
"160",0.461371711566646,0.234577629497231,0.277409531873285,1,70,
"161",0.450689778151437,0.229982221667261,0.0115969861274715,3,71,
"162",0.454430969674683,0.232276495138775,0.300861818699348,1,72,
"163",0.445961638776953,0.236688397283531,0.177122143173574,3,73,
"164",0.445084913954315,0.235563207633484,0.242574540061684,1,74,
"165",0.454547645464426,0.234724822176513,0.140975505402399,3,75,
"166",0.455005585428813,0.234026096066757,0.180743456851468,3,76,
"167",0.464201175623594,0.23391556197496,0.207261800910206,1,77,
"168",0.448230102900788,0.236320606479163,0.170194581248872,3,78,
"169",0.454576161638937,0.233955989969619,0.279944968802398,1,79,
"170",0.448658018873085,0.234833548057371,0.206122527132276,1,80,
"171",0.455224353281287,0.234594896457642,0.146652257756567,3,81,
"172",0.440380136022891,0.237709984398221,0.134577559905491,3,82,
"173",0.442362619172309,0.23336555792714,0.171623188321405,3,83,
"174",0.459267177959597,0.233767924090383,0.248281059865043,1,84,
"175",0.441751297407379,0.235123099782728,0.175853939014792,3,85,
"176",0.447411104381379,0.235987217364768,0.260859323196072,1,86,
"177",0.453223858805301,0.233205652103531,0.202261197652009,3,87,
"178",0.457108681815343,0.233670249469555,0.189912571589681,3,88,
"179",0.458885138064392,0.234606416184291,0.399290145665537,1,89,
"180",0.445490687521323,0.231739433205949,0.480321967011096,1,90,2012
"181",0.439850001121494,0.232320605071887,0.0071026886529498,3,46,2011
"182",0.450271097807098,0.231257844100634,0.338041885131644,1,47,
"183",0.459632305904569,0.232593382579299,0.306695325797011,1,48,
"184",0.456572160008778,0.232120429868242,0.463664953730616,1,49,
"185",0.471416855920499,0.235231995192622,0.158618572069976,3,50,
"186",0.440870061680495,0.22926233050222,0.00834644716628469,3,51,
"187",0.447442574261313,0.233735028167255,0.332294481725463,1,52,
"188",0.451342280135232,0.234558147540001,0.250191308945195,1,53,
"189",0.443840398491684,0.233677127556774,0.380089993074516,1,54,
"190",0.452872454018718,0.234956028183933,0.429787293687979,1,55,
"191",0.443203345177552,0.232730685607278,0.182686562272748,3,56,
"192",0.44332444369692,0.22932254182279,0.0131464882549919,3,57,
